,event,name,date,bouts,link
0,Contender Series 2020,Week 10,2020.08.25,0,/fightcenter/events/68353-contender-series-2020-week-10
1,Contender Series 2020,Week 9,2020.08.18,0,/fightcenter/events/68352-contender-series-2020-week-9
2,UFC Fight Night,,2020.08.15,1,/fightcenter/events/67159-ufc-on-espn
3,Contender Series 2020,Week 8,2020.08.11,0,/fightcenter/events/68351-contender-series-2020-week-8
4,Contender Series 2020,Week 7,2020.08.04,0,/fightcenter/events/68350-contender-series-2020-week-7
5,UFC Fight Night,,2020.08.01,1,/fightcenter/events/69945-ufc-fight-night
6,Contender Series 2020,Week 6,2020.07.28,0,/fightcenter/events/68349-contender-series-2020-week-6
7,UFC Fight Night,Whittaker vs. Till,2020.07.25,2,/fightcenter/events/69764-ufc-fight-night
8,Contender Series 2020,Week 5,2020.07.21,0,/fightcenter/events/68348-contender-series-2020-week-5
9,UFC Fight Night,Figueiredo vs. Benavidez 2,2020.07.18,3,/fightcenter/events/69705-ufc-fight-night
10,UFC Fight Night,,2020.07.15,2,/fightcenter/events/70017-ufc-fight-night
11,Contender Series 2020,Week 4,2020.07.14,0,/fightcenter/events/68347-contender-series-2020-week-4
12,UFC 251,,2020.07.11,3,/fightcenter/events/67725-ufc-252
13,Contender Series 2020,Week 3,2020.07.07,0,/fightcenter/events/68346-contender-series-2020-week-3
14,Contender Series 2020,Week 2,2020.06.30,0,/fightcenter/events/68345-contender-series-2020-week-2
15,UFC Fight Night,Poirier vs. Hooker,2020.06.27,4,/fightcenter/events/67596-ufc-on-espn
16,Contender Series 2020,Week 1,2020.06.23,1,/fightcenter/events/68344-contender-series-2020-week-1
17,UFC Fight Night,Blaydes vs. Volkov,2020.06.20,9,/fightcenter/events/67608-ufc-on-espn
18,UFC Fight Night,Eye vs. Calvillo,2020.06.13,7,/fightcenter/events/67562-ufc-on-espn
19,UFC 250,Nunes vs. Spencer,2020.06.06,12,/fightcenter/events/67364-ufc-251
20,UFC Fight Night,Woodley vs. Burns,2020.05.30,11,/fightcenter/events/69127-ufc-fight-night
21,UFC Fight Night,Overeem vs. Harris,2020.05.16,11,/fightcenter/events/67412-ufc-on-espn-33
22,UFC Fight Night,Smith vs. Teixeira,2020.05.13,10,/fightcenter/events/69126-ufc-fight-night
23,UFC 249,Ferguson vs. Gaethje,2020.05.09,11,/fightcenter/events/66312-ufc-250
24,UFC on ESPN+ 32 (cancelled),,2020.05.02,0,/fightcenter/events/67068-ufc-on-espn-32
25,UFC on ESPN+ 31,Smith vs. Teixeira (cancelled),2020.04.25,0,/fightcenter/events/66414-ufc-on-espn-31-smith-vs-teixeira
26,UFC 249,Ferguson vs. Gaethje (cancelled),2020.04.18,0,/fightcenter/events/64603-ufc-249
27,UFC on ESPN+ 30,Overeem vs. Harris (Cancelled),2020.04.11,0,/fightcenter/events/65431-ufc-on-espn-30
28,UFC on ESPN 8,N'Gannou vs. Rozenstruik (Cancelled),2020.03.28,0,/fightcenter/events/65131-ufc-on-espn-29
29,UFC on ESPN+ 29,Woodley vs. Edwards (Cancelled),2020.03.21,0,/fightcenter/events/64602-ufc-on-espn-27
30,UFC on ESPN+ 28,Lee vs. Oliveira,2020.03.14,12,/fightcenter/events/64600-ufc-on-espn-26
31,UFC 248,Adesanya vs. Romero,2020.03.07,11,/fightcenter/events/64599-ufc-248
33,UFC on ESPN+ 27,Benavidez vs. Figueiredo,2020.02.29,12,/fightcenter/events/65142-ufc-on-espn-27
34,UFC on ESPN+ 26,Felder vs. Hooker,2020.02.22,12,/fightcenter/events/64478-ufc-on-espn
35,UFC on ESPN+ 25,Anderson vs. Błachowicz 2,2020.02.15,13,/fightcenter/events/64635-ufc-on-espn
36,UFC 247,Jones vs. Reyes,2020.02.08,12,/fightcenter/events/64388-ufc-on-espn
37,UFC on ESPN+ 24,Blaydes vs. Dos Santos,2020.01.25,12,/fightcenter/events/64361-ufc-on-espn-24
38,UFC 246,McGregor vs. Cerrone,2020.01.18,11,/fightcenter/events/63997-ufc-fight-night
41,UFC on ESPN+ 23,Edgar vs. Korean Zombie,2019.12.21,13,/fightcenter/events/60327-ufc-on-espn-23
42,UFC 245,Usman vs. Covington,2019.12.14,13,/fightcenter/events/60326-ufc-245
43,UFC on ESPN 7,Overeem vs. Rozenstruik,2019.12.07,12,/fightcenter/events/60325-ufc-on-espn-6
44,UFC on ESPN+ 22,Blachowicz vs. Jacare,2019.11.16,12,/fightcenter/events/60323-ufc-on-espn-21
45,UFCA Combat 1,,2019.11.09,9,/fightcenter/events/64269-ufca-combat-1
46,UFC on ESPN+ 21,Magomedsharipov vs. Kattar,2019.11.09,13,/fightcenter/events/61626-ufc-on-espn-21
47,UFC 244,Masvidal vs. Diaz,2019.11.02,12,/fightcenter/events/60322-ufc-244
48,UFC on ESPN+ 20,Maia vs. Askren,2019.10.26,11,/fightcenter/events/60321-ufc-on-espn-20
50,UFC on ESPN 6,Reyes vs. Weidman,2019.10.18,13,/fightcenter/events/60320-ufc-on-espn-2
51,UFC on ESPN+ 19,Joanna vs. Waterson,2019.10.12,14,/fightcenter/events/60319-ufc-on-espn-19
52,UFC 243,Whittaker vs. Adesanya,2019.10.05,11,/fightcenter/events/60318-ufc-243
54,UFC on ESPN+ 18,Hermansson vs. Cannonier,2019.09.28,13,/fightcenter/events/60317-ufc-on-espn-18
55,UFC on ESPN+ 17,Rodriguez vs. Stephens,2019.09.21,12,/fightcenter/events/60316-ufc-on-espn-17
56,UFC on ESPN+ 16,Cowboy vs. Gaethje,2019.09.14,12,/fightcenter/events/60315-ufc-on-espn-16
57,UFC 242,Khabib vs. Poirier,2019.09.07,13,/fightcenter/events/60004-ufc-242
58,UFC on ESPN+ 15,Andrade vs. Zhang,2019.08.31,11,/fightcenter/events/60314-ufc-on-espn-15
59,Contender Series 2019,Week 10,2019.08.27,5,/fightcenter/events/61011-dw-s-contender-series-week-10
60,Contender Series 2019,Week 9,2019.08.20,5,/fightcenter/events/60000-dw-s-contender-series-2019-week-10
61,UFC 241,Cormier vs. Miocic 2,2019.08.17,12,/fightcenter/events/59522-ufc-241
63,Contender Series 2019,Week 8,2019.08.13,5,/fightcenter/events/59999-dw-s-contender-series-2019-week-9
64,UFC on ESPN+ 14,Shevchenko vs. Carmouche 2,2019.08.10,13,/fightcenter/events/60313-ufc-on-espn-14
65,Contender Series 2019,Week 7,2019.08.06,5,/fightcenter/events/59998-dw-s-contender-series-2019-week-8
66,UFC on ESPN 5,Covington vs. Lawler,2019.08.03,12,/fightcenter/events/60312-ufc-on-espn-5-covington-vs-lawler
67,Contender Series 2019,Week 6,2019.07.30,5,/fightcenter/events/59499-dw-s-contender-series-2019-week-7
68,UFC 240,Holloway vs. Edgar,2019.07.27,11,/fightcenter/events/59521-ufc-240
69,Contender Series 2019,Week 5,2019.07.23,5,/fightcenter/events/59498-dw-s-contender-series-2019-week-6
70,UFC on ESPN 4,Dos Anjos vs. Edwards,2019.07.20,13,/fightcenter/events/60311-ufc-on-espn-4
72,Contender Series 2019,Week 4,2019.07.16,5,/fightcenter/events/59497-dw-s-contender-series-2019-week-5
73,UFC on ESPN+ 13,De Randamie vs. Ladd,2019.07.13,12,/fightcenter/events/59896-ufc-on-espn-13
75,Contender Series 2019,Week 3,2019.07.09,5,/fightcenter/events/59496-dw-s-contender-series-2019-week-4
76,UFC 239,Jones vs. Santos,2019.07.06,12,/fightcenter/events/58831-ufc-239
77,UFC on ESPN 3,N'Gannou vs. Dos Santos,2019.06.29,12,/fightcenter/events/57513-ufc-on-espn-4
78,Contender Series 2019,Week 2,2019.06.25,5,/fightcenter/events/59494-dw-s-contender-series-2019-week-2
79,UFC on ESPN+ 12,Moicano vs. Korean Zombie,2019.06.22,11,/fightcenter/events/57512-ufc-on-espn-11
80,Contender Series 2019,Week 1,2019.06.18,4,/fightcenter/events/59493-dw-s-contender-series-2019-week-1
81,UFC 238,Cejudo vs. Moraes,2019.06.08,13,/fightcenter/events/58449-ufc-238
82,UFC on ESPN+ 11,Gustafsson vs. Smith,2019.06.01,12,/fightcenter/events/57510-ufc-on-espn-10
85,UFC on ESPN+ 10,Dos Anjos vs. Lee,2019.05.18,13,/fightcenter/events/57509-ufc-on-espn-9
86,UFC 237,Namajunas vs. Andrade,2019.05.11,12,/fightcenter/events/57508-ufc-237
87,UFC on ESPN+ 9,Iaquinta vs. Cowboy,2019.05.04,12,/fightcenter/events/57507-ufc-on-espn-8
89,UFC on ESPN+ 8,Jacare vs. Hermansson,2019.04.27,13,/fightcenter/events/57506-ufc-on-espn-3
91,UFC on ESPN+ 7,Overeem vs. Oleinik,2019.04.20,11,/fightcenter/events/57505-ufc-on-espn-7
92,UFC 236,Holloway vs. Poirier 2,2019.04.13,13,/fightcenter/events/57504-ufc-236
93,UFC on ESPN 2,Barboza vs. Gaethje,2019.03.30,13,/fightcenter/events/56354-ufc-fight-night-150
94,UFC on ESPN+ 6,Thompson vs. Pettis,2019.03.23,12,/fightcenter/events/56353-ufc-fight-night-149
95,UFC on ESPN+ 5,Till vs. Masvidal,2019.03.16,12,/fightcenter/events/56327-ufc-fight-night
96,UFC on ESPN+ 4,Lewis vs. Dos Santos,2019.03.09,13,/fightcenter/events/56352-ufc-fight-night-147
97,UFC 235,Jones vs. Smith,2019.03.02,12,/fightcenter/events/56351-ufc-235
